movie_id,genre_id
378,8
378,9
379,1
379,6
379,7
380,1
380,6
380,18
381,1
381,2
381,16
382,6
382,7
382,18
383,2
383,3
383,5
384,2
384,8
384,9
385,1
385,6
385,18
386,1
386,2
386,3
387,2
387,5
387,6
388,5
388,9
388,16
389,6
389,7
390,1
390,7
390,10
391,1
391,2
391,16
392,5
392,7
392,15
393,6
393,7
393,18
394,1
394,2
394,18
395,11
395,14
396,7
396,9
396,14
397,1
397,11
397,16
398,5
399,5
399,7
399,15
400,7
400,14
400,18
401,7
401,18
402,2
402,3
402,5
403,1
403,18
404,1
404,5
404,6
405,1
405,18
406,6
406,18
407,1
407,16
408,1
408,18
409,5
410,5
410,7
410,9
411,1
411,6
411,18
412,1
412,2
413,1
413,2
413,5
414,2
414,3
414,5
415,1
415,2
415,18
416,7
416,14
416,18
417,1
417,6
417,18
418,7
418,14
418,18
419,11
419,14
419,18
420,1
420,6
420,16
421,1
421,2
421,18
422,6
422,7
422,14
423,2
423,3
423,5
424,7
424,15
425,4
425,7
426,2
426,7
426,8
427,1
427,2
427,18
428,1
428,2
428,16
429,1
429,16
429,18
430,5
430,15
431,1
431,6
431,7
432,1
432,2
432,18
433,5
433,9
434,7
434,15
435,5
436,1
436,2
436,3
437,1
437,5
437,6
438,5
438,7
438,15
439,7
439,14
439,16
440,1
440,2
440,18
441,1
441,2
441,16
442,2
442,5
442,8
443,9
443,11
443,14
444,1
444,2
444,5
445,2
445,3
445,8
446,4
446,7
446,17
447,2
447,5
447,8
448,7
449,1
449,2
449,16
450,6
450,7
451,4
451,7
452,1
452,4
452,7
453,1
453,9
453,11
454,1
454,18
455,1
455,6
455,18
456,7
456,11
456,13
457,5
457,15
458,5
458,15
459,7
459,9
459,14
460,6
460,7
460,18
461,11
461,14
462,1
462,2
462,3
463,5
464,1
464,2
464,5
465,4
465,7
465,10
466,5
466,15
467,5
467,15
468,7
468,18
469,5
469,7
469,15
470,1
470,6
470,7
471,7
471,14
471,16
472,2
472,7
472,11
473,1
473,2
473,16
474,4
474,7
474,10
475,1
475,18
476,3
476,7
476,9
477,1
477,2
477,16
478,6
478,18
479,5
479,7
479,9
480,7
480,19
481,4
481,7
481,17
482,7
482,14
482,16
483,1
483,2
483,9
484,3
484,7
484,19
485,5
485,7
485,15
486,7
486,11
486,16
487,2
487,5
487,7
488,7
489,1
489,2
489,16
490,1
490,2
490,16
491,1
491,16
491,18
492,1
492,2
492,18
493,1
493,7
493,16
494,1
494,2
494,18
495,5
495,15
496,5
496,7
496,15
497,7
497,14
497,18
498,1
498,2
498,14
499,1
499,2
499,5
500,7
500,9
500,11
